,metadata.epub,metadata.cover,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.url,bibliography.author.name,bibliography.publication.day,bibliography.publication.month,bibliography.publication.year
0,https://www.gutenberg.org/ebooks/1342.epub3.images,https://www.gutenberg.org/cache/epub/1342/pg1342.cover.medium.jpg,en,"Sisters -- Fiction,Courtship -- Fiction,Social classes -- Fiction,England -- Fiction,Domestic fiction,Young women -- Fiction,Love stories",Pride and Prejudice,Text,36576,1342,https://www.gutenberg.org/ebooks/1342,"Austen, Jane",1,6,1998
1,https://www.gutenberg.org/ebooks/1952.epub3.images,https://www.gutenberg.org/cache/epub/1952/pg1952.cover.medium.jpg,en,"Mentally ill women -- Fiction,Feminist fiction,Psychological fiction,Married women -- Psychology -- Fiction,Sex role -- Fiction",The Yellow Wallpaper,Text,26363,1952,https://www.gutenberg.org/ebooks/1952,"Gilman, Charlotte Perkins",1,11,1999
2,https://www.gutenberg.org/ebooks/11.epub3.images,https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg,en,Fantasy,Alice's Adventures in Wonderland,Text,18882,11,https://www.gutenberg.org/ebooks/11,"Carroll, Lewis",1,3,1994
3,https://www.gutenberg.org/ebooks/84.epub3.images,https://www.gutenberg.org/cache/epub/84/pg84.cover.medium.jpg,en,"Monsters -- Fiction;Frankenstein's monster (Fictitious character) -- Fiction;Gothic fiction (Literary genre);Science fiction;Frankenstein, Victor (Fictitious character) -- Fiction;Scientists -- Fiction;Horror tales","Frankenstein; Or, The Modern Prometheus",Text,17128,84,https://www.gutenberg.org/ebooks/84,"Shelley, Mary Wollstonecraft",17,6,2008
4,https://www.gutenberg.org/ebooks/5200.epub3.images,https://www.gutenberg.org/cache/epub/5200/pg5200.cover.medium.jpg,en,"Psychological fiction,Metamorphosis -- Fiction",Metamorphosis,Text,15683,5200,https://www.gutenberg.org/ebooks/5200,"Kafka, Franz",16,8,2005
5,https://www.gutenberg.org/ebooks/76.epub3.images,https://www.gutenberg.org/cache/epub/76/pg76.cover.medium.jpg,en,"Male friendship -- Fiction;Humorous stories;Missouri -- Fiction;Race relations -- Fiction;Bildungsromans;Finn, Huckleberry (Fictitious character) -- Fiction;Fugitive slaves -- Fiction;Mississippi River -- Fiction;Adventure stories;Runaway children -- Fiction;Boys -- Fiction",Adventures of Huckleberry Finn,Text,15347,76,https://www.gutenberg.org/ebooks/76,"Twain, Mark",20,8,2006
6,https://www.gutenberg.org/ebooks/844.epub3.images,https://www.gutenberg.org/cache/epub/844/pg844.cover.medium.jpg,en,"Identity (Psychology) -- Drama,Comedies,England -- Drama,Foundlings -- Drama",The Importance of Being Earnest: A Trivial Comedy for Serious People,Text,13638,844,https://www.gutenberg.org/ebooks/844,"Wilde, Oscar",29,8,2006
7,https://www.gutenberg.org/ebooks/74.epub3.images,https://www.gutenberg.org/cache/epub/74/pg74.cover.medium.jpg,en,"Male friendship -- Fiction;Humorous stories;Missouri -- Fiction;Child witnesses -- Fiction;Bildungsromans;Mississippi River Valley -- Fiction;Adventure stories;Runaway children -- Fiction;Boys -- Fiction;Sawyer, Tom (Fictitious character) -- Fiction",The Adventures of Tom Sawyer,Text,13237,74,https://www.gutenberg.org/ebooks/74,"Twain, Mark",20,8,2006
8,https://www.gutenberg.org/ebooks/23.epub3.images,https://www.gutenberg.org/cache/epub/23/pg23.cover.medium.jpg,en,"Slaves -- United States -- Biography;Douglass, Frederick, 1818-1895;African American abolitionists -- Biography;Abolitionists -- United States -- Biography","Narrative of the Life of Frederick Douglass, an American Slave",Text,12794,23,https://www.gutenberg.org/ebooks/23,"Douglass, Frederick",10,1,2006
9,https://www.gutenberg.org/ebooks/2542.epub3.images,https://www.gutenberg.org/cache/epub/2542/pg2542.cover.medium.jpg,en,"Wives -- Drama,Man-woman relationships -- Drama,Marriage -- Drama,Norwegian drama -- Translations into English",A Doll's House : a play,Text,11625,2542,https://www.gutenberg.org/ebooks/2542,"Ibsen, Henrik",1,3,2001
